,original_game,recommended_game1,recommended_game2,recommended_game3,recommended_game4,recommended_game5
807,deus ex: game of the year edition - pc,hitman contracts - pc,deus ex: invisible war - pc,hitman: codename 47,red faction - pc,half-life (platinum collection) (second edition)
808,train simulator - pc,madden nfl 07 - pc,nascar racing 2003 season - pc,nascar sim racing - pc,clive barker's undying - pc,scratches: directors cut - pc
809,necronomicon - pc,condemned: criminal origins (dvd) - pc,call of duty: modern warfare 2 prestige edition -xbox 360,the crystal key - pc/mac,mysterious journey 2,beyond atlantis - pc
810,street fighter alpha 3 max - sony psp,sony ps vita senran kagura shinovi versus shoujotachi no shoumei,mega man powered up - sony psp,capcom classics collection reloaded - sony psp,phantasy star nova,playstation portable 2000 system - piano black
811,legacy of kain: soul reaver 2,legacy of kain: defiance,legacy of kain: soul reaver,blood omen 2,blood rayne,castlevania: lament of innocence
812,digimon world 2,digimon world,digimon world 3,nyko charge block solo - controller charging station with patented charge dongle and micro-usb/ac power cord for playstation 4,jade cocoon: story of tamamayu - playstation,persona 2: eternal punishment - playstation
813,tokyo xtreme racer zero,tokyo xtreme racer 3 - playstation 2,pirates of the caribbean - xbox,rapalas pro fishing - playstation 2,auto modellista,gran turismo 3 a-spec
814,crazy taxi,splashdown:  rides gone wild - playstation 2,mystery masters: mystical realms collection - 20 pack amr,"amazing hidden object games 3 pack. paranormal mysteries, immortal lovers, ghost whisperer forgotten toys and sinister city",sky odyssey,nascar rumble
815,super mario advance,super mario world: super mario advance 2,super mario advance 4: super mario bros 3,f-zero: maximum velocity,mario kart: super circuit,castlevania: circle of the moon
816,game boy advance console in glacier,mario kart: super circuit,sega smash pack (ecco the dolphin / golden axe / sonic spinball),nintendo game boy advance sp - platinum,gamecube memory card 59,sega gt 2002 - xbox
817,f-zero: maximum velocity,rayman advance,super mario advance,mall tycoon - pc,space chimps - xbox 360,crazy taxi 2 - sega dreamcast
818,super game boy,wario land: super mario land 3,super mario all stars,donkey kong,mortal kombat ii,sonic cd
819,red faction,red faction ii,time splitters ps2,medal of honor underground,sky odyssey,kessen
820,the simpson's wrestling,two pack nintendo nes extension cables ( not compatible with nes classic edition ),south park,tetris plus,visual memory unit - white,hitman contracts - xbox
821,rayman advance,crash bandicoot 2: n-tranced,f-zero: maximum velocity,ms. pac-man,asteroids,pac pix - nintendo ds
822,half-life: blue shift - pc,half-life expansion pack: opposing force - pc,rogue spear mission pack:  urban operations - pc,star wars: rogue squadron 3d (jewel case),star wars jedi knight 2: jedi outcast - pc,half-life: game of the year edition - pc
823,final fantasy adventure,final fantasy legend,breath of fire,rpg maker,"ggg0041 dust cover multipack for sega genesis cartridges, storage sleeve for retro video games, protector case",mother 3 full english translation - made for nintendo game boy advance - homebrew / hack / fan translation [video game] [game boy]
824,final fantasy legend,dragon warrior ii - nintendo nes,nintendo 64 controller - red,breath of fire,super ghouls 'n ghosts,final fantasy: mystic quest
825,super dodge ball advance,bomberman tournament,age of empires collector's edition - pc,quake iii: revolution,midtown madness 2 - pc,castlevania: circle of the moon
826,castlevania: circle of the moon,castlevania: harmony of dissonance,castlevania: aria of sorrow,castlevania: nes classics,doom ii,castlevania: dracula x
827,nba street - playstation 2,nba street volume 2 - playstation 2,nfl street - playstation 2,atv offroad fury ps2,nfl street 2 - playstation 2,def jam vendetta
828,firepro wrestling - game boy advance,super nintendo super castlevania iv,fifa soccer 2002,bomberman tournament,majesty - pc,sky odyssey
829,gamecube wavebird wireless controller - platinum,wormlight: silver - gameboy color,mario golf: toadstool tour,nintendo ds lite game card case,official nintendo ds headset,wii messenger bag
830,dragon ball z: budokai,dragon ball z: taiketsu,dragon ball z: budokai 2,mortal kombat: deadly alliance - playstation 2,yu yu hakusho dark tournament - playstation 2,dragon ball z: the legacy of goku
831,gamecube console - legend of zelda bundle - black,wormlight: silver - gameboy color,"elitepro grip studded skin set for xbox one elite controller by foamy lizard ® sweat free silicone skin w/ raised anti-slip studs plus set of 8 qsx-elite thumb grips (skin + qsx-e grips, black)",world of tanks [download],gamilys replacement ac power adapter for the nintendo gamecube system,ortz ps4 vertical stand with cooling fan [charges 4 controllers]
832,midnight club 2,frogger: the great quest,iron man - playstation 2,dance dance revolution ddr max - playstation 2,need for speed hot pursuit 2 - playstation 2,everquest 2 (dvd-rom) - pc
833,high heat baseball 2004 ps2,mario golf advance tour,everquest: the ruins of kunark - pc,mvp baseball 2005,mlb 07: the show,mvp baseball 2004
834,auto modellista,stranglehold collector's edition (includes hard boiled) - playstation 3,ghost hunter,knights contract - xbox 360,tetris plus,shadowgate - nintendo nes
835,clock tower 3 - playstation 2,siren - playstation 2,haunting ground - playstation 2,fatal frame,rule of rose - playstation 2,ps3 homefront
836,xenosaga - playstation 2,xenosaga episode ii: jenseits von gut und bose - playstation 2,zone of the enders: the 2nd runner,xenosaga episode iii - playstation 2,star ocean till the end of time - playstation 2,ar tonelico: melody of elemia
837,indiana jones and the emperor's tomb,vigilante 8: 2nd offense,vigilante 8,rpg maker,the lord of the rings: the third age,evil dead regeneration - xbox
838,shell shock: nam 67 - xbox,star wars clone wars - xbox,rollercoaster tycoon,planetside - pc,lord of the rings: the fellowship of the ring,star wars episode iii revenge of the sith - xbox
839,shrek 2 - playstation 2,jeep thrills - nintendo wii,ice age: dawn of the dinosaurs - playstation 2,transformers: revenge of the fallen - playstation 2,shrek superslam - playstation 2,kingdom under fire heroes - xbox
840,shrek 2 - gamecube,world of zoo - nintendo wii,ion ied07 premium rock band drum kit for xbox 360,rock band microphone for wii/xbox 360/ps3,everquest: the scars of velious - pc,ape escape 3 - playstation 2
841,spider-man 2 - xbox,rollercoaster tycoon,fable - best of platinum - xbox (platinum),rocky,shell shock: nam 67 - xbox,mortal kombat shaolin monks - xbox
842,namco museum,pac-man collection,nintendo e-reader - card reader for game boy advance,risk/battleship/clue,pac-man - classic nes series,"namco museum, 50th anniversary"
843,sonic 3d blast,dr. robotnik's mean bean machine,sonic & knuckles,sonic the hedgehog 2,venom/spider-man: separation anxiety,sonic spinball gen
844,vectorman 2 - sega genesis,vectorman,golden axe - sega genesis,venom/spider-man: separation anxiety,batman forever,sonic 3d blast
845,ultimate mortal kombat 3,mortal kombat ii,super street fighter ii: the new challengers,mortal kombat,killer instinct,wwf super wrestlemania
846,ultimate mortal kombat 3,nba jam t.e. tournament edition,mortal kombat 3,mortal kombat ii,mortal kombat,t2 (terminator 2): the arcade game
847,mortal kombat ii,mortal kombat,mortal kombat 3,the revenge of shinobi,ultimate mortal kombat 3,aquascape streets of rage
848,ms. pac-man,nba jam t.e. tournament edition,mortal kombat ii,mortal kombat 3,super street fighter ii,mortal kombat
849,mortal kombat 3,mortal kombat,mortal kombat ii,spider-man,amf bowling pinbusters - nintendo wii,marvel super hero squad
850,game genie - sega genesis,back to the future,michael jackson's moonwalker - sega genesis,"back to the future, part ii and iii",ultimate mortal kombat 3,nba jam t.e. tournament edition
851,sega saturn system - video game console,panzer dragoon - sega saturn,nights into dreams - sega saturn,bug - sega saturn,sega dreamcast console,sega genesis 1 (original model) console system
852,nba street volume 2 - playstation 2,nba street - playstation 2,nfl street - playstation 2,def jam vendetta,ps3 homefront,nfl street 2 - playstation 2
853,rumble racing,unreal tournament - playstation 2,spy hunter - playstation 2,dead or alive 4 platinum hits,quake iii: revolution,need for speed: hot pursuit 2
854,tony hawk's pro skater 2,mario kart: super circuit,super dodge ball advance,street fighter alpha 3,super mario advance,doom
855,gladius - xbox,gladius - gamecube,gladius - playstation 2,vandal hearts,street fighter 2010: the final fight,mega man x command mission - playstation 2
856,operation flashpoint: cold war crisis - pc,project igi: i'm going in - pc,rogue spear mission pack:  urban operations - pc,delta force 2 - pc,thief: the dark project - pc,tom clancy's ghost recon - pc
857,def jam vendetta,street fighter ex3,hitman 2:  silent assassin - playstation 2,nba live 2003,nba street volume 2 - playstation 2,dave mirra 2:  freestyle bmx - playstation 2
858,sony twisted metal: black - playstation 2,mortal kombat: deadly alliance - playstation 2,grand theft auto iii,red faction,twisted metal,quake iii: revolution
859,game boy advance game link cable,gamecube memory card 59,game boy advance - limited edition platinum,wipeout,nintendo e-reader - card reader for game boy advance,army men world war
860,game boy advance - fuchsia,build-a-bear workshop - nintendo ds,escape whisper valley,littlest pet shop: winter - nintendo ds,barbie groom and glam pup - nintendo ds,polarium - nintendo ds
861,civilization 3 - pc,civilization 3: conquests expansion pack - pc,civilization 3 expansion: play the world - pc,tropico - pc,black & white - pc,heroes of might & magic 3 complete - pc
862,starcraft with brood war expansion pack,bookworm - pc,galactic civilizations ii ultimate edition - pc,the movies: premiere edition (dvd) - pc,iron man - pc,unreal tournament iii collector's edition - pc
863,dungeon siege - pc,dungeon siege: legends of aranna expansion pack - pc,earth & beyond,everquest: the scars of velious - pc,mercury,starcraft
864,star wars: galactic battlegrounds - pc,star wars galactic battlegrounds: clone campaigns (expansion pack),rome total war: barbarian invasion expansion pack - pc,nfl fever 2003 (xbox),7th guest - pc,total annihilation - pc
865,star wars jedi knight 2: jedi outcast - pc,star trek voyager:  elite force - pc,medal of honor: allied assault - pc,star wars: rogue squadron 3d (jewel case),tom clancy's ghost recon - pc,star wars jedi knight: jedi academy - pc
866,"pokemon, crystal version",sonic adventure 2,pokemon gold,high heat major league baseball 2003,sonic spinball gen,sonic adventure - sega dreamcast
867,bloody roar  3 - playstation 2,rechargeable controller battery pack white (2 packs) [xbox 360],ultimate ninja 4: naruto shippuden,naruto: uzumaki chronicles - playstation 2,wwe smackdown! shut your mouth,prototype 2 [online game code]
868,game shark,metropolis street racer,robotech battlecry,kinetica ps2,".hack: g.u., vol.3: redemption",".hack: g.u., vol. 2 - reminisce"
869,pac-man collection,namco museum,sonic the hedgehog genesis,"namco museum, 50th anniversary",pac-man - classic nes series,mario pinball land
870,ncaa football 2002 [playstation],"nba live 2001 (ps2, refurb) [playstation2] [playstation2] [playstation2]",madden nfl 2001,triple play baseball,ncaa football 2003,madden nfl 2002
871,final fantasy chronicles: chrono trigger/final fantasy iv,final fantasy anthology - playstation,final fantasy origins final fantasy i & ii remastered editions - playstation,final fantasy ix,chrono cross - playstation,final fantasy tactics
872,bomberman tournament,wario land 3,quake iii: revolution,super dodge ball advance,rambo - nintendo nes,britney's dance beat
873,phantasy star online version 2 - sega dreamcast,high heat major league baseball 2003,tom clancy's rainbow six,sega bass fishing,"phantasy star online, episode i & ii",phantasy star universe - playstation 2
874,klonoa 2: lunatea's veil,klonoa - nintendo wii,psp portable memory 32mb,snoopy's grand adventure - nintendo 3ds,"talismoon whisper fan for xbox 360, in blue",rayman
875,sony playstation memory card,tomb raider ii,driver 2 - playstation,tomb raider iii: adventures of lara croft,atv offroad fury 3 - playstation 2,ps3 homefront
876,nintendo 64 controller pak,nintendo 64 rumble pak (nus-013),nintendo 64 expansion pak,nintendo 64 system - video game console,yoshi's story,mega man 5
877,ps2 controller extension cable,star wars: battlefront - standard edition - pc [download code],nintendo 3ds multi travel pouch - black,tnti™ arc charger - playstation 4 dualshock controller charger with ac adapter ps4 pro and slim compatible,conflict: denied ops - playstation 3,wonderbook: book of potions (ps3)
